owner,repo,timestamp,count,uniques
datacarpentry,organization-genomics,2018-04-25T00:00:00Z,4,1
datacarpentry,scripting-ecology,2018-04-15T00:00:00Z,1,1
datacarpentry,R-ecology-lesson,2018-04-11T00:00:00Z,3,1
datacarpentry,R-ecology-lesson,2018-04-12T00:00:00Z,144,16
datacarpentry,R-ecology-lesson,2018-04-13T00:00:00Z,180,30
datacarpentry,R-ecology-lesson,2018-04-14T00:00:00Z,7,4
datacarpentry,R-ecology-lesson,2018-04-15T00:00:00Z,35,5
datacarpentry,R-ecology-lesson,2018-04-16T00:00:00Z,48,28
datacarpentry,R-ecology-lesson,2018-04-17T00:00:00Z,48,24
datacarpentry,R-ecology-lesson,2018-04-18T00:00:00Z,16,12
datacarpentry,R-ecology-lesson,2018-04-19T00:00:00Z,18,13
datacarpentry,R-ecology-lesson,2018-04-20T00:00:00Z,91,20
datacarpentry,R-ecology-lesson,2018-04-21T00:00:00Z,18,10
datacarpentry,R-ecology-lesson,2018-04-22T00:00:00Z,5,4
datacarpentry,R-ecology-lesson,2018-04-23T00:00:00Z,46,12
datacarpentry,R-ecology-lesson,2018-04-24T00:00:00Z,64,21
datacarpentry,R-ecology-lesson,2018-04-25T00:00:00Z,49,13
datacarpentry,OpenRefine-ecology-lesson,2018-04-12T00:00:00Z,7,1
datacarpentry,OpenRefine-ecology-lesson,2018-04-13T00:00:00Z,52,3
datacarpentry,OpenRefine-ecology-lesson,2018-04-15T00:00:00Z,2,2
datacarpentry,OpenRefine-ecology-lesson,2018-04-16T00:00:00Z,28,4
datacarpentry,OpenRefine-ecology-lesson,2018-04-17T00:00:00Z,33,5
datacarpentry,OpenRefine-ecology-lesson,2018-04-18T00:00:00Z,5,1
datacarpentry,OpenRefine-ecology-lesson,2018-04-19T00:00:00Z,5,2
datacarpentry,OpenRefine-ecology-lesson,2018-04-20T00:00:00Z,5,1
datacarpentry,OpenRefine-ecology-lesson,2018-04-23T00:00:00Z,17,3
datacarpentry,OpenRefine-ecology-lesson,2018-04-24T00:00:00Z,9,3
datacarpentry,OpenRefine-ecology-lesson,2018-04-25T00:00:00Z,1,1
datacarpentry,genomics-workshop,2018-04-13T00:00:00Z,42,5
datacarpentry,genomics-workshop,2018-04-14T00:00:00Z,1,1
datacarpentry,genomics-workshop,2018-04-16T00:00:00Z,4,3
datacarpentry,genomics-workshop,2018-04-17T00:00:00Z,25,3
datacarpentry,genomics-workshop,2018-04-18T00:00:00Z,3,3
datacarpentry,genomics-workshop,2018-04-23T00:00:00Z,4,2
datacarpentry,genomics-workshop,2018-04-24T00:00:00Z,18,1
datacarpentry,genomics-workshop,2018-04-25T00:00:00Z,19,3
datacarpentry,r-raster-vector-geospatial,2018-04-11T00:00:00Z,10,3
datacarpentry,r-raster-vector-geospatial,2018-04-12T00:00:00Z,213,15
datacarpentry,r-raster-vector-geospatial,2018-04-13T00:00:00Z,415,62
datacarpentry,r-raster-vector-geospatial,2018-04-14T00:00:00Z,66,31
datacarpentry,r-raster-vector-geospatial,2018-04-15T00:00:00Z,70,8
datacarpentry,r-raster-vector-geospatial,2018-04-16T00:00:00Z,42,12
datacarpentry,r-raster-vector-geospatial,2018-04-17T00:00:00Z,9,2
datacarpentry,r-raster-vector-geospatial,2018-04-18T00:00:00Z,8,6
datacarpentry,r-raster-vector-geospatial,2018-04-19T00:00:00Z,11,6
datacarpentry,r-raster-vector-geospatial,2018-04-20T00:00:00Z,28,5
datacarpentry,r-raster-vector-geospatial,2018-04-21T00:00:00Z,74,3
datacarpentry,r-raster-vector-geospatial,2018-04-22T00:00:00Z,57,2
datacarpentry,r-raster-vector-geospatial,2018-04-23T00:00:00Z,40,7
datacarpentry,r-raster-vector-geospatial,2018-04-24T00:00:00Z,14,11
datacarpentry,r-raster-vector-geospatial,2018-04-25T00:00:00Z,54,9
datacarpentry,ecology-workshop,2018-04-12T00:00:00Z,3,3
datacarpentry,ecology-workshop,2018-04-13T00:00:00Z,7,3
datacarpentry,ecology-workshop,2018-04-15T00:00:00Z,7,2
datacarpentry,ecology-workshop,2018-04-16T00:00:00Z,3,3
datacarpentry,ecology-workshop,2018-04-17T00:00:00Z,2,2
datacarpentry,ecology-workshop,2018-04-18T00:00:00Z,1,1
datacarpentry,ecology-workshop,2018-04-19T00:00:00Z,2,1
datacarpentry,ecology-workshop,2018-04-20T00:00:00Z,3,2
datacarpentry,ecology-workshop,2018-04-21T00:00:00Z,1,1
datacarpentry,ecology-workshop,2018-04-22T00:00:00Z,1,1
datacarpentry,ecology-workshop,2018-04-25T00:00:00Z,2,1
datacarpentry,data-carpentry-r-ecology-lesson-datacamp,2018-04-13T00:00:00Z,1,1
datacarpentry,r-socialsci,2018-04-11T00:00:00Z,1,1
datacarpentry,r-socialsci,2018-04-12T00:00:00Z,272,17
datacarpentry,r-socialsci,2018-04-13T00:00:00Z,508,21
datacarpentry,r-socialsci,2018-04-14T00:00:00Z,97,6
datacarpentry,r-socialsci,2018-04-15T00:00:00Z,62,4
datacarpentry,r-socialsci,2018-04-16T00:00:00Z,46,6
datacarpentry,r-socialsci,2018-04-17T00:00:00Z,51,6
datacarpentry,r-socialsci,2018-04-18T00:00:00Z,92,5
datacarpentry,r-socialsci,2018-04-19T00:00:00Z,36,4
datacarpentry,r-socialsci,2018-04-20T00:00:00Z,53,2
datacarpentry,r-socialsci,2018-04-22T00:00:00Z,13,1
datacarpentry,r-socialsci,2018-04-23T00:00:00Z,17,4
datacarpentry,r-socialsci,2018-04-24T00:00:00Z,77,3
datacarpentry,r-socialsci,2018-04-25T00:00:00Z,87,8
datacarpentry,python-socialsci,2018-04-12T00:00:00Z,300,15
datacarpentry,python-socialsci,2018-04-13T00:00:00Z,456,25
datacarpentry,python-socialsci,2018-04-14T00:00:00Z,72,6
datacarpentry,python-socialsci,2018-04-15T00:00:00Z,19,4
datacarpentry,python-socialsci,2018-04-16T00:00:00Z,118,6
datacarpentry,python-socialsci,2018-04-17T00:00:00Z,27,3
datacarpentry,python-socialsci,2018-04-18T00:00:00Z,30,2
datacarpentry,python-socialsci,2018-04-19T00:00:00Z,8,2
datacarpentry,python-socialsci,2018-04-20T00:00:00Z,29,2
datacarpentry,python-socialsci,2018-04-22T00:00:00Z,15,2
datacarpentry,python-socialsci,2018-04-23T00:00:00Z,119,6
datacarpentry,python-socialsci,2018-04-24T00:00:00Z,3,2
datacarpentry,python-socialsci,2018-04-25T00:00:00Z,7,3
datacarpentry,spreadsheets-socialsci,2018-04-12T00:00:00Z,60,5
datacarpentry,spreadsheets-socialsci,2018-04-13T00:00:00Z,82,10
datacarpentry,spreadsheets-socialsci,2018-04-14T00:00:00Z,2,2
datacarpentry,spreadsheets-socialsci,2018-04-15T00:00:00Z,12,2
datacarpentry,spreadsheets-socialsci,2018-04-16T00:00:00Z,54,5
datacarpentry,spreadsheets-socialsci,2018-04-18T00:00:00Z,6,2
datacarpentry,spreadsheets-socialsci,2018-04-19T00:00:00Z,6,1
datacarpentry,spreadsheets-socialsci,2018-04-20T00:00:00Z,3,1
datacarpentry,spreadsheets-socialsci,2018-04-22T00:00:00Z,25,1
datacarpentry,spreadsheets-socialsci,2018-04-23T00:00:00Z,189,5
datacarpentry,spreadsheets-socialsci,2018-04-24T00:00:00Z,6,3
datacarpentry,spreadsheets-socialsci,2018-04-25T00:00:00Z,66,6
datacarpentry,openrefine-socialsci,2018-04-12T00:00:00Z,7,3
datacarpentry,openrefine-socialsci,2018-04-13T00:00:00Z,66,7
datacarpentry,openrefine-socialsci,2018-04-14T00:00:00Z,29,2
datacarpentry,openrefine-socialsci,2018-04-15T00:00:00Z,23,1
datacarpentry,openrefine-socialsci,2018-04-16T00:00:00Z,24,3
datacarpentry,openrefine-socialsci,2018-04-18T00:00:00Z,17,2
datacarpentry,openrefine-socialsci,2018-04-19T00:00:00Z,4,2
datacarpentry,openrefine-socialsci,2018-04-20T00:00:00Z,4,1
datacarpentry,openrefine-socialsci,2018-04-22T00:00:00Z,13,1
datacarpentry,openrefine-socialsci,2018-04-23T00:00:00Z,2,2
datacarpentry,openrefine-socialsci,2018-04-25T00:00:00Z,13,3
datacarpentry,sql-socialsci,2018-04-12T00:00:00Z,9,4
datacarpentry,sql-socialsci,2018-04-13T00:00:00Z,64,10
datacarpentry,sql-socialsci,2018-04-14T00:00:00Z,31,1
datacarpentry,sql-socialsci,2018-04-15T00:00:00Z,141,1
datacarpentry,sql-socialsci,2018-04-16T00:00:00Z,3,2
datacarpentry,sql-socialsci,2018-04-18T00:00:00Z,6,2
datacarpentry,sql-socialsci,2018-04-19T00:00:00Z,3,1
datacarpentry,sql-socialsci,2018-04-20T00:00:00Z,2,1
datacarpentry,sql-socialsci,2018-04-22T00:00:00Z,3,1
datacarpentry,sql-socialsci,2018-04-23T00:00:00Z,2,1
datacarpentry,sql-socialsci,2018-04-25T00:00:00Z,76,3
datacarpentry,socialsci-workshop,2018-04-12T00:00:00Z,4,1
datacarpentry,socialsci-workshop,2018-04-13T00:00:00Z,10,1
datacarpentry,socialsci-workshop,2018-04-15T00:00:00Z,1,1
datacarpentry,socialsci-workshop,2018-04-16T00:00:00Z,9,2
datacarpentry,socialsci-workshop,2018-04-20T00:00:00Z,1,1
datacarpentry,socialsci-workshop,2018-04-21T00:00:00Z,7,2
datacarpentry,socialsci-workshop,2018-04-24T00:00:00Z,1,1
datacarpentry,socialsci-workshop,2018-04-25T00:00:00Z,38,3
datacarpentry,cloud-genomics,2018-04-12T00:00:00Z,10,3
datacarpentry,cloud-genomics,2018-04-13T00:00:00Z,23,2
datacarpentry,cloud-genomics,2018-04-16T00:00:00Z,1,1
datacarpentry,cloud-genomics,2018-04-25T00:00:00Z,3,1
datacarpentry,geospatial-workshop,2018-04-12T00:00:00Z,26,6
datacarpentry,geospatial-workshop,2018-04-13T00:00:00Z,145,13
datacarpentry,geospatial-workshop,2018-04-16T00:00:00Z,1,1
datacarpentry,geospatial-workshop,2018-04-17T00:00:00Z,2,2
datacarpentry,geospatial-workshop,2018-04-19T00:00:00Z,9,1
datacarpentry,geospatial-workshop,2018-04-20T00:00:00Z,2,1
datacarpentry,geospatial-workshop,2018-04-23T00:00:00Z,3,1
datacarpentry,geospatial-workshop,2018-04-24T00:00:00Z,1,1
datacarpentry,geospatial-workshop,2018-04-25T00:00:00Z,14,2
datacarpentry,r-intro-geospatial,2018-04-11T00:00:00Z,14,3
datacarpentry,r-intro-geospatial,2018-04-12T00:00:00Z,201,14
datacarpentry,r-intro-geospatial,2018-04-13T00:00:00Z,165,22
datacarpentry,r-intro-geospatial,2018-04-14T00:00:00Z,11,3
datacarpentry,r-intro-geospatial,2018-04-15T00:00:00Z,17,3
datacarpentry,r-intro-geospatial,2018-04-16T00:00:00Z,8,1
datacarpentry,r-intro-geospatial,2018-04-17T00:00:00Z,1,1
datacarpentry,r-intro-geospatial,2018-04-18T00:00:00Z,2,1
datacarpentry,r-intro-geospatial,2018-04-19T00:00:00Z,15,4
datacarpentry,r-intro-geospatial,2018-04-20T00:00:00Z,2,1
datacarpentry,r-intro-geospatial,2018-04-23T00:00:00Z,2,1
datacarpentry,r-intro-geospatial,2018-04-24T00:00:00Z,4,2
datacarpentry,r-intro-geospatial,2018-04-25T00:00:00Z,13,1
datacarpentry,organization-geospatial,2018-04-11T00:00:00Z,22,3
datacarpentry,organization-geospatial,2018-04-12T00:00:00Z,112,15
datacarpentry,organization-geospatial,2018-04-13T00:00:00Z,257,18
datacarpentry,organization-geospatial,2018-04-14T00:00:00Z,9,5
datacarpentry,organization-geospatial,2018-04-15T00:00:00Z,10,6
datacarpentry,organization-geospatial,2018-04-16T00:00:00Z,12,3
datacarpentry,organization-geospatial,2018-04-17T00:00:00Z,1,1
datacarpentry,organization-geospatial,2018-04-18T00:00:00Z,8,1
datacarpentry,organization-geospatial,2018-04-19T00:00:00Z,3,1
datacarpentry,organization-geospatial,2018-04-21T00:00:00Z,3,1
datacarpentry,organization-geospatial,2018-04-23T00:00:00Z,3,2
datacarpentry,organization-geospatial,2018-04-24T00:00:00Z,2,1
datacarpentry,organization-geospatial,2018-04-25T00:00:00Z,10,1
swcarpentry,r-novice-gapminder-es,2018-04-11T00:00:00Z,1,1
swcarpentry,r-novice-gapminder-es,2018-04-12T00:00:00Z,50,5
swcarpentry,r-novice-gapminder-es,2018-04-13T00:00:00Z,306,9
swcarpentry,r-novice-gapminder-es,2018-04-14T00:00:00Z,25,2
swcarpentry,r-novice-gapminder-es,2018-04-15T00:00:00Z,52,2
swcarpentry,r-novice-gapminder-es,2018-04-16T00:00:00Z,48,6
swcarpentry,r-novice-gapminder-es,2018-04-17T00:00:00Z,6,2
swcarpentry,r-novice-gapminder-es,2018-04-18T00:00:00Z,147,6
swcarpentry,r-novice-gapminder-es,2018-04-19T00:00:00Z,117,7
swcarpentry,r-novice-gapminder-es,2018-04-20T00:00:00Z,5,3
swcarpentry,r-novice-gapminder-es,2018-04-21T00:00:00Z,82,4
swcarpentry,r-novice-gapminder-es,2018-04-22T00:00:00Z,94,6
swcarpentry,r-novice-gapminder-es,2018-04-23T00:00:00Z,1,1
swcarpentry,r-novice-gapminder-es,2018-04-24T00:00:00Z,7,1
swcarpentry,r-novice-gapminder-es,2018-04-25T00:00:00Z,76,5
swcarpentry,r-novice-inflammation,2018-04-11T00:00:00Z,1,1
swcarpentry,r-novice-inflammation,2018-04-12T00:00:00Z,67,16
swcarpentry,r-novice-inflammation,2018-04-13T00:00:00Z,53,8
swcarpentry,r-novice-inflammation,2018-04-14T00:00:00Z,140,9
swcarpentry,r-novice-inflammation,2018-04-15T00:00:00Z,39,7
swcarpentry,r-novice-inflammation,2018-04-16T00:00:00Z,29,12
swcarpentry,r-novice-inflammation,2018-04-17T00:00:00Z,30,9
swcarpentry,r-novice-inflammation,2018-04-18T00:00:00Z,32,9
swcarpentry,r-novice-inflammation,2018-04-19T00:00:00Z,17,9
swcarpentry,r-novice-inflammation,2018-04-20T00:00:00Z,9,7
swcarpentry,r-novice-inflammation,2018-04-21T00:00:00Z,59,15
swcarpentry,r-novice-inflammation,2018-04-22T00:00:00Z,29,7
swcarpentry,r-novice-inflammation,2018-04-23T00:00:00Z,36,7
swcarpentry,r-novice-inflammation,2018-04-24T00:00:00Z,33,11
swcarpentry,r-novice-inflammation,2018-04-25T00:00:00Z,11,6
carpentries,instructor-training,2018-04-12T00:00:00Z,53,8
carpentries,instructor-training,2018-04-13T00:00:00Z,75,11
carpentries,instructor-training,2018-04-14T00:00:00Z,2,2
carpentries,instructor-training,2018-04-15T00:00:00Z,13,5
carpentries,instructor-training,2018-04-16T00:00:00Z,10,3
carpentries,instructor-training,2018-04-17T00:00:00Z,23,5
carpentries,instructor-training,2018-04-18T00:00:00Z,57,7
carpentries,instructor-training,2018-04-19T00:00:00Z,35,9
carpentries,instructor-training,2018-04-20T00:00:00Z,43,14
carpentries,instructor-training,2018-04-21T00:00:00Z,4,3
carpentries,instructor-training,2018-04-22T00:00:00Z,5,2
carpentries,instructor-training,2018-04-23T00:00:00Z,20,9
carpentries,instructor-training,2018-04-24T00:00:00Z,40,12
carpentries,instructor-training,2018-04-25T00:00:00Z,16,4
