organization,user,number,is_pr,state,created_at,updated_at,closed_at,repo
datacarpentry,mcnabbkb,197,FALSE,open,2017-06-05T16:01:03Z,2018-04-18T14:25:36Z,NA,spreadsheet-ecology-lesson
datacarpentry,DrK-Lo,196,FALSE,open,2017-06-05T13:19:25Z,2018-04-18T14:25:38Z,NA,spreadsheet-ecology-lesson
datacarpentry,DanielleQuinn,192,FALSE,open,2017-05-08T02:24:07Z,2018-04-18T14:25:35Z,NA,spreadsheet-ecology-lesson
datacarpentry,tracykteal,177,FALSE,closed,2017-04-25T20:42:50Z,2018-04-18T00:36:30Z,2018-04-18T00:36:30Z,spreadsheet-ecology-lesson
datacarpentry,ErinBecker,97,FALSE,closed,2017-03-16T22:53:42Z,2018-04-13T23:03:58Z,2018-04-13T23:03:58Z,spreadsheet-ecology-lesson
datacarpentry,gallingerj,53,FALSE,closed,2016-09-13T18:20:38Z,2018-04-13T23:13:00Z,2018-04-13T23:13:00Z,spreadsheet-ecology-lesson
datacarpentry,apreshill,45,FALSE,open,2016-04-12T17:18:28Z,2018-04-18T14:25:37Z,NA,spreadsheet-ecology-lesson
datacarpentry,tracykteal,24,FALSE,closed,2015-08-25T15:04:10Z,2018-04-13T18:33:48Z,2018-04-13T18:33:48Z,spreadsheet-ecology-lesson
datacarpentry,mkuzak,5,FALSE,open,2015-03-17T16:20:26Z,2018-04-18T14:25:37Z,NA,spreadsheet-ecology-lesson
datacarpentry,tmorrell,270,FALSE,open,2018-04-24T20:13:57Z,2018-04-24T20:13:57Z,NA,python-ecology-lesson
datacarpentry,tmorrell,269,TRUE,open,2018-04-24T17:34:48Z,2018-04-24T17:34:48Z,NA,python-ecology-lesson
datacarpentry,colinmorris,268,FALSE,open,2018-04-17T20:24:30Z,2018-04-24T18:19:45Z,NA,python-ecology-lesson
datacarpentry,colinmorris,267,FALSE,open,2018-04-17T20:13:29Z,2018-04-17T20:13:29Z,NA,python-ecology-lesson
datacarpentry,colinmorris,266,FALSE,open,2018-04-17T20:10:42Z,2018-04-17T20:19:53Z,NA,python-ecology-lesson
datacarpentry,EdMBarry,265,TRUE,open,2018-04-16T09:23:04Z,2018-04-17T08:51:32Z,NA,python-ecology-lesson
datacarpentry,stijnvanhoey,264,TRUE,closed,2018-04-14T13:50:28Z,2018-04-14T13:56:31Z,2018-04-14T13:52:07Z,python-ecology-lesson
datacarpentry,katrintirok,263,TRUE,closed,2018-04-12T20:33:04Z,2018-04-13T16:45:41Z,2018-04-13T16:45:41Z,python-ecology-lesson
datacarpentry,katrintirok,262,FALSE,open,2018-04-12T15:36:57Z,2018-04-12T15:36:57Z,NA,python-ecology-lesson
datacarpentry,katrintirok,261,TRUE,closed,2018-04-09T19:54:23Z,2018-04-13T18:25:02Z,2018-04-13T18:22:06Z,python-ecology-lesson
datacarpentry,katrintirok,260,TRUE,open,2018-04-09T19:50:04Z,2018-04-18T13:10:52Z,NA,python-ecology-lesson
datacarpentry,katrintirok,259,FALSE,open,2018-04-08T20:02:30Z,2018-04-08T20:02:30Z,NA,python-ecology-lesson
datacarpentry,katrintirok,258,TRUE,open,2018-04-08T20:00:10Z,2018-04-18T13:10:38Z,NA,python-ecology-lesson
datacarpentry,katrintirok,257,TRUE,open,2018-04-08T14:26:50Z,2018-04-09T19:54:59Z,NA,python-ecology-lesson
datacarpentry,eotp,256,TRUE,closed,2018-04-07T00:31:19Z,2018-04-07T13:56:38Z,2018-04-07T13:56:30Z,python-ecology-lesson
datacarpentry,eotp,255,TRUE,closed,2018-04-06T22:42:24Z,2018-04-07T16:29:19Z,2018-04-07T16:29:17Z,python-ecology-lesson
datacarpentry,wrightaprilm,254,FALSE,open,2018-04-05T20:26:13Z,2018-04-08T18:08:22Z,NA,python-ecology-lesson
datacarpentry,eldrn1,253,TRUE,open,2018-04-05T19:03:11Z,2018-04-07T16:28:47Z,NA,python-ecology-lesson
datacarpentry,wrightaprilm,252,FALSE,open,2018-04-05T18:43:38Z,2018-04-06T16:41:46Z,NA,python-ecology-lesson
datacarpentry,wrightaprilm,251,FALSE,open,2018-04-05T18:27:02Z,2018-04-13T17:56:55Z,NA,python-ecology-lesson
datacarpentry,oxpeter,250,TRUE,closed,2018-03-13T03:21:12Z,2018-04-02T14:29:48Z,2018-04-02T14:29:46Z,python-ecology-lesson
datacarpentry,Amrithasuresh,249,TRUE,closed,2018-03-10T21:18:53Z,2018-04-02T14:29:12Z,2018-04-02T14:29:09Z,python-ecology-lesson
datacarpentry,stijnvanhoey,248,TRUE,closed,2018-03-07T20:53:54Z,2018-04-17T20:29:10Z,2018-04-13T17:55:44Z,python-ecology-lesson
datacarpentry,mboisson,247,TRUE,open,2018-03-05T18:43:10Z,2018-04-07T16:28:18Z,NA,python-ecology-lesson
datacarpentry,stijnvanhoey,246,FALSE,open,2018-03-03T15:57:55Z,2018-04-17T20:14:55Z,NA,python-ecology-lesson
datacarpentry,wrightaprilm,245,FALSE,closed,2018-02-28T04:35:53Z,2018-04-05T20:13:34Z,2018-04-05T18:32:46Z,python-ecology-lesson
datacarpentry,hec8855,244,FALSE,closed,2018-02-20T19:30:19Z,2018-04-13T16:46:22Z,2018-04-13T16:46:22Z,python-ecology-lesson
datacarpentry,cbrafter,239,FALSE,open,2018-01-24T15:05:32Z,2018-04-09T19:57:58Z,NA,python-ecology-lesson
datacarpentry,daviddesancho,237,TRUE,open,2018-01-24T13:06:04Z,2018-04-07T16:28:01Z,NA,python-ecology-lesson
datacarpentry,ErinBecker,232,FALSE,closed,2017-12-12T16:31:58Z,2018-04-05T19:07:07Z,2018-04-05T19:07:07Z,python-ecology-lesson
datacarpentry,colinmorris,228,FALSE,closed,2017-11-08T22:49:25Z,2018-04-05T19:06:07Z,2018-04-05T19:06:07Z,python-ecology-lesson
datacarpentry,colinmorris,226,FALSE,closed,2017-11-07T19:25:23Z,2018-04-05T18:57:00Z,2018-04-05T18:57:00Z,python-ecology-lesson
datacarpentry,colinmorris,224,FALSE,open,2017-11-06T01:36:59Z,2018-04-06T16:36:48Z,NA,python-ecology-lesson
datacarpentry,colinmorris,223,FALSE,open,2017-11-06T01:19:03Z,2018-04-09T19:56:19Z,NA,python-ecology-lesson
datacarpentry,colinmorris,221,FALSE,open,2017-11-05T23:41:29Z,2018-04-06T16:35:25Z,NA,python-ecology-lesson
datacarpentry,chitrakgupta,218,FALSE,closed,2017-10-28T21:36:31Z,2018-04-05T18:48:21Z,2018-04-05T18:48:21Z,python-ecology-lesson
datacarpentry,golnoosh7,217,FALSE,closed,2017-10-25T19:09:07Z,2018-04-05T18:45:10Z,2018-04-05T18:45:10Z,python-ecology-lesson
datacarpentry,LucaDiStasio,211,TRUE,open,2017-09-05T14:48:00Z,2018-04-07T16:27:18Z,NA,python-ecology-lesson
datacarpentry,raynamharris,197,FALSE,closed,2017-07-08T00:52:02Z,2018-04-05T18:45:34Z,2018-04-05T18:45:34Z,python-ecology-lesson
datacarpentry,tmorrell,186,TRUE,closed,2017-04-28T21:27:52Z,2018-04-07T16:23:56Z,2018-04-07T16:23:56Z,python-ecology-lesson
datacarpentry,weiapplele,142,TRUE,closed,2017-01-17T22:28:36Z,2018-04-07T16:25:11Z,2018-04-07T16:25:11Z,python-ecology-lesson
datacarpentry,qjcg,139,FALSE,open,2017-01-16T12:52:43Z,2018-04-06T16:34:35Z,NA,python-ecology-lesson
datacarpentry,aschoenr,77,TRUE,closed,2016-08-11T20:04:22Z,2018-04-07T16:24:27Z,2018-04-07T16:24:27Z,python-ecology-lesson
datacarpentry,justbennet,54,TRUE,closed,2016-04-20T03:09:36Z,2018-04-07T16:24:45Z,2018-04-07T16:24:45Z,python-ecology-lesson
datacarpentry,tracykteal,20,FALSE,open,2015-12-04T22:59:39Z,2018-04-05T22:02:23Z,NA,python-ecology-lesson
datacarpentry,jessicamizzi,141,TRUE,closed,2018-04-13T20:52:31Z,2018-04-13T21:24:09Z,2018-04-13T21:17:43Z,shell-genomics
datacarpentry,ErinBecker,140,TRUE,closed,2018-04-13T16:05:48Z,2018-04-13T21:32:21Z,2018-04-13T21:32:21Z,shell-genomics
datacarpentry,ctb,138,TRUE,closed,2018-02-14T21:41:47Z,2018-04-13T16:00:38Z,2018-04-13T16:00:37Z,shell-genomics
datacarpentry,aschuerch,135,TRUE,closed,2018-01-29T09:57:33Z,2018-04-13T15:58:18Z,2018-04-13T15:57:51Z,shell-genomics
datacarpentry,samnooij,131,FALSE,open,2018-01-15T13:45:22Z,2018-04-13T20:28:42Z,NA,shell-genomics
datacarpentry,Schmops78,130,FALSE,open,2018-01-10T00:51:20Z,2018-04-13T22:35:04Z,NA,shell-genomics
datacarpentry,aschuerch,125,FALSE,closed,2017-12-13T13:31:04Z,2018-04-13T18:07:41Z,2018-04-13T18:07:17Z,shell-genomics
datacarpentry,dleehr,121,FALSE,open,2017-11-21T19:12:56Z,2018-04-17T22:03:45Z,NA,shell-genomics
datacarpentry,ErinBecker,117,FALSE,open,2017-11-21T00:37:55Z,2018-04-17T22:03:45Z,NA,shell-genomics
datacarpentry,ErinBecker,114,FALSE,open,2017-11-21T00:24:02Z,2018-04-17T22:03:45Z,NA,shell-genomics
datacarpentry,aschuerch,111,FALSE,open,2017-11-14T15:47:14Z,2018-04-17T22:03:34Z,NA,shell-genomics
datacarpentry,katrinleinweber,85,TRUE,open,2018-04-13T12:13:59Z,2018-04-13T12:13:59Z,NA,R-genomics
datacarpentry,standage,117,FALSE,open,2018-04-13T17:48:46Z,2018-04-13T17:48:46Z,NA,wrangling-genomics
datacarpentry,taylorreiter,113,FALSE,open,2018-01-25T19:47:29Z,2018-04-17T17:47:49Z,NA,wrangling-genomics
datacarpentry,taylorreiter,112,FALSE,open,2018-01-25T18:16:11Z,2018-04-13T18:30:54Z,NA,wrangling-genomics
datacarpentry,taylorreiter,111,FALSE,open,2018-01-25T17:23:33Z,2018-04-17T17:47:07Z,NA,wrangling-genomics
datacarpentry,ErinBecker,93,FALSE,open,2017-11-20T22:22:41Z,2018-04-17T22:09:56Z,NA,wrangling-genomics
datacarpentry,ErinBecker,91,FALSE,open,2017-11-16T22:25:22Z,2018-04-17T22:09:56Z,NA,wrangling-genomics
datacarpentry,crazyhottommy,76,FALSE,open,2017-11-09T20:06:41Z,2018-04-17T22:09:56Z,NA,wrangling-genomics
datacarpentry,lexnederbragt,60,FALSE,open,2017-10-18T09:04:47Z,2018-04-17T22:09:56Z,NA,wrangling-genomics
datacarpentry,lexnederbragt,56,FALSE,open,2017-10-18T08:49:44Z,2018-04-17T22:09:56Z,NA,wrangling-genomics
datacarpentry,ErinBecker,50,FALSE,open,2017-10-17T18:42:28Z,2018-04-17T22:09:26Z,NA,wrangling-genomics
datacarpentry,JasonJWilliamsNY,37,FALSE,open,2017-08-31T18:12:28Z,2018-04-17T22:07:41Z,NA,wrangling-genomics
datacarpentry,brooksph,61,TRUE,closed,2018-04-13T23:16:47Z,2018-04-15T22:03:54Z,2018-04-14T13:58:20Z,organization-genomics
datacarpentry,ljcohen,60,TRUE,closed,2018-04-13T19:55:50Z,2018-04-13T20:43:39Z,2018-04-13T20:43:39Z,organization-genomics
datacarpentry,raynamharris,57,TRUE,closed,2018-03-20T21:20:51Z,2018-04-04T14:08:06Z,2018-04-03T20:54:29Z,organization-genomics
datacarpentry,tracykteal,56,FALSE,closed,2018-01-24T13:44:33Z,2018-04-13T20:46:29Z,2018-04-13T20:46:29Z,organization-genomics
datacarpentry,aays,39,TRUE,closed,2017-10-22T20:04:43Z,2018-04-08T23:46:47Z,2017-11-13T16:58:43Z,organization-genomics
datacarpentry,sstevens2,32,FALSE,open,2017-08-30T20:08:14Z,2018-04-17T22:12:00Z,NA,organization-genomics
datacarpentry,tracykteal,27,FALSE,open,2016-12-08T00:35:19Z,2018-04-17T22:12:57Z,NA,organization-genomics
datacarpentry,tracykteal,26,FALSE,open,2016-12-08T00:09:17Z,2018-04-17T22:12:57Z,NA,organization-genomics
datacarpentry,ACharbonneau,23,FALSE,open,2015-07-06T21:42:10Z,2018-04-17T22:12:57Z,NA,organization-genomics
datacarpentry,fmichonneau,5,FALSE,open,2018-04-18T16:41:52Z,2018-04-18T16:41:52Z,NA,scripting-ecology
datacarpentry,AshKernow,407,FALSE,closed,2018-04-24T11:26:46Z,2018-04-24T12:50:53Z,2018-04-24T12:50:53Z,R-ecology-lesson
datacarpentry,humburg,406,FALSE,open,2018-04-24T04:28:29Z,2018-04-24T20:10:58Z,NA,R-ecology-lesson
datacarpentry,dwbapst,405,FALSE,closed,2018-04-20T21:23:56Z,2018-04-23T15:12:59Z,2018-04-23T13:54:00Z,R-ecology-lesson
datacarpentry,stragu,404,TRUE,closed,2018-04-18T12:46:54Z,2018-04-18T13:47:21Z,2018-04-18T13:46:08Z,R-ecology-lesson
datacarpentry,stragu,403,TRUE,closed,2018-04-18T12:32:50Z,2018-04-18T13:54:54Z,2018-04-18T13:48:06Z,R-ecology-lesson
datacarpentry,stragu,402,TRUE,closed,2018-04-18T12:03:54Z,2018-04-18T14:05:42Z,2018-04-18T14:05:42Z,R-ecology-lesson
datacarpentry,cengel,401,TRUE,closed,2018-04-13T20:21:31Z,2018-04-14T01:52:13Z,2018-04-13T20:22:44Z,R-ecology-lesson
datacarpentry,anacost,400,TRUE,closed,2018-04-13T08:35:21Z,2018-04-13T18:20:00Z,2018-04-13T18:20:00Z,R-ecology-lesson
datacarpentry,shayofarrell,399,TRUE,closed,2018-04-12T22:45:56Z,2018-04-16T02:15:44Z,2018-04-13T18:20:36Z,R-ecology-lesson
datacarpentry,anacost,398,FALSE,closed,2018-04-12T15:08:34Z,2018-04-12T15:18:22Z,2018-04-12T15:18:22Z,R-ecology-lesson
datacarpentry,anacost,397,TRUE,closed,2018-04-12T15:04:32Z,2018-04-12T15:10:58Z,2018-04-12T15:10:58Z,R-ecology-lesson
datacarpentry,fmichonneau,396,FALSE,open,2018-04-12T13:45:21Z,2018-04-13T20:23:12Z,NA,R-ecology-lesson
datacarpentry,MilesMcBain,395,TRUE,closed,2018-04-10T00:07:42Z,2018-04-10T00:44:05Z,2018-04-10T00:44:01Z,R-ecology-lesson
datacarpentry,dagimy,394,TRUE,closed,2018-04-05T08:22:43Z,2018-04-12T13:40:51Z,2018-04-12T13:40:42Z,R-ecology-lesson
datacarpentry,PeteHaitch,393,FALSE,closed,2018-04-03T16:10:54Z,2018-04-12T14:11:06Z,2018-04-12T14:10:39Z,R-ecology-lesson
datacarpentry,maurolepore,392,TRUE,closed,2018-04-01T14:18:12Z,2018-04-12T13:50:36Z,2018-04-12T13:46:07Z,R-ecology-lesson
datacarpentry,eoziolor,391,FALSE,open,2018-03-28T17:55:12Z,2018-04-18T16:04:29Z,NA,R-ecology-lesson
datacarpentry,sgclarkevt,390,FALSE,closed,2018-03-28T13:15:34Z,2018-04-13T14:18:42Z,2018-04-12T15:52:25Z,R-ecology-lesson
datacarpentry,maurolepore,384,FALSE,open,2018-03-18T02:19:12Z,2018-04-12T16:04:14Z,NA,R-ecology-lesson
datacarpentry,kathy0305,381,TRUE,closed,2018-03-12T16:56:12Z,2018-04-12T14:35:48Z,2018-04-12T14:35:48Z,R-ecology-lesson
datacarpentry,maurolepore,378,FALSE,open,2018-03-10T17:44:16Z,2018-04-10T06:52:43Z,NA,R-ecology-lesson
datacarpentry,sdtaylor,376,FALSE,open,2018-03-09T20:49:14Z,2018-04-10T06:59:49Z,NA,R-ecology-lesson
datacarpentry,fmichonneau,375,FALSE,closed,2018-03-09T20:38:40Z,2018-04-12T16:08:09Z,2018-04-12T16:08:02Z,R-ecology-lesson
datacarpentry,chriseshleman,370,FALSE,closed,2018-03-02T20:46:47Z,2018-04-12T14:44:41Z,2018-04-12T14:44:41Z,R-ecology-lesson
datacarpentry,chriseshleman,369,TRUE,closed,2018-03-02T20:42:39Z,2018-04-12T14:40:49Z,2018-04-12T14:40:41Z,R-ecology-lesson
datacarpentry,sheraaron,366,FALSE,closed,2018-03-01T16:49:39Z,2018-04-12T16:09:23Z,2018-04-12T16:09:23Z,R-ecology-lesson
datacarpentry,scortijo,365,TRUE,closed,2018-02-26T16:26:54Z,2018-04-12T14:53:14Z,2018-04-12T14:53:14Z,R-ecology-lesson
datacarpentry,fmichonneau,359,FALSE,open,2018-01-31T15:37:25Z,2018-04-09T17:35:17Z,NA,R-ecology-lesson
datacarpentry,sheraaron,357,FALSE,closed,2018-01-25T03:14:25Z,2018-04-12T16:10:08Z,2018-04-12T16:10:08Z,R-ecology-lesson
datacarpentry,WeeBeasties,356,FALSE,open,2018-01-23T15:47:43Z,2018-04-09T17:37:38Z,NA,R-ecology-lesson
datacarpentry,fmichonneau,353,FALSE,open,2018-01-22T17:15:05Z,2018-04-09T17:37:07Z,NA,R-ecology-lesson
datacarpentry,AliBerens,338,FALSE,closed,2017-12-21T21:04:14Z,2018-04-12T17:06:16Z,2018-04-12T17:05:11Z,R-ecology-lesson
datacarpentry,AliBerens,337,FALSE,closed,2017-12-21T20:45:34Z,2018-04-12T19:59:38Z,2018-04-12T19:59:38Z,R-ecology-lesson
datacarpentry,kathy0305,330,FALSE,closed,2017-11-27T21:32:43Z,2018-04-12T21:27:24Z,2018-04-12T21:27:24Z,R-ecology-lesson
datacarpentry,kathy0305,329,FALSE,closed,2017-11-27T21:09:39Z,2018-04-12T21:25:07Z,2018-04-12T21:25:07Z,R-ecology-lesson
datacarpentry,shiva1387,321,FALSE,closed,2017-10-27T06:49:02Z,2018-04-12T22:17:26Z,2018-04-12T22:17:26Z,R-ecology-lesson
datacarpentry,tavareshugo,317,FALSE,closed,2017-10-19T14:00:32Z,2018-04-12T22:19:00Z,2018-04-12T22:19:00Z,R-ecology-lesson
datacarpentry,jebyrnes,271,FALSE,closed,2017-05-19T15:02:58Z,2018-04-12T22:22:07Z,2018-04-12T22:22:07Z,R-ecology-lesson
datacarpentry,fmichonneau,240,FALSE,open,2017-04-07T11:59:15Z,2018-04-09T17:35:16Z,NA,R-ecology-lesson
datacarpentry,fmichonneau,233,FALSE,closed,2017-04-07T02:00:08Z,2018-04-12T22:21:11Z,2018-04-12T22:21:11Z,R-ecology-lesson
datacarpentry,willpearse,194,FALSE,closed,2017-02-10T22:28:41Z,2018-04-12T22:30:00Z,2018-04-12T22:30:00Z,R-ecology-lesson
datacarpentry,fmichonneau,93,FALSE,open,2016-06-10T20:30:33Z,2018-04-09T17:35:16Z,NA,R-ecology-lesson
datacarpentry,fmichonneau,77,FALSE,closed,2016-03-25T18:25:46Z,2018-04-13T19:02:49Z,2018-04-13T19:02:49Z,R-ecology-lesson
datacarpentry,tracykteal,38,FALSE,open,2015-10-08T21:06:16Z,2018-04-09T17:35:15Z,NA,R-ecology-lesson
datacarpentry,fionajones,175,FALSE,open,2018-04-24T06:41:38Z,2018-04-24T06:41:38Z,NA,OpenRefine-ecology-lesson
datacarpentry,Librarianblues,174,FALSE,open,2018-04-17T05:32:27Z,2018-04-17T05:38:21Z,NA,OpenRefine-ecology-lesson
datacarpentry,mfernandes61,173,FALSE,open,2018-04-16T11:59:37Z,2018-04-23T06:48:51Z,NA,OpenRefine-ecology-lesson
datacarpentry,ErinBecker,172,TRUE,closed,2018-04-13T16:15:25Z,2018-04-13T20:30:35Z,2018-04-13T20:30:35Z,OpenRefine-ecology-lesson
datacarpentry,mfernandes61,171,FALSE,open,2018-04-12T09:34:22Z,2018-04-12T09:34:22Z,NA,OpenRefine-ecology-lesson
datacarpentry,JoshuaDull,170,TRUE,closed,2018-03-07T22:14:11Z,2018-04-13T16:08:50Z,2018-04-13T16:08:50Z,OpenRefine-ecology-lesson
datacarpentry,kariljordan,160,TRUE,closed,2017-11-03T20:09:51Z,2018-04-13T16:22:24Z,2018-04-13T16:22:17Z,OpenRefine-ecology-lesson
datacarpentry,kariljordan,159,TRUE,closed,2017-11-03T20:07:38Z,2018-04-13T16:21:58Z,2018-04-13T16:21:49Z,OpenRefine-ecology-lesson
datacarpentry,ErinBecker,157,FALSE,open,2017-10-25T16:05:57Z,2018-04-18T16:44:06Z,NA,OpenRefine-ecology-lesson
datacarpentry,ErinBecker,153,FALSE,open,2017-09-18T15:40:45Z,2018-04-18T16:44:06Z,NA,OpenRefine-ecology-lesson
datacarpentry,ccronje,150,TRUE,closed,2017-07-29T06:43:13Z,2018-04-13T16:20:00Z,2018-04-13T16:19:36Z,OpenRefine-ecology-lesson
datacarpentry,ccronje,149,TRUE,closed,2017-07-29T06:37:58Z,2018-04-13T16:20:38Z,2018-04-13T16:20:30Z,OpenRefine-ecology-lesson
datacarpentry,kariljordan,145,TRUE,closed,2017-06-20T23:56:53Z,2018-04-13T16:16:45Z,2018-04-13T16:16:39Z,OpenRefine-ecology-lesson
datacarpentry,ErinBecker,84,FALSE,open,2017-03-17T22:17:16Z,2018-04-18T16:48:31Z,NA,OpenRefine-ecology-lesson
datacarpentry,ErinBecker,80,FALSE,open,2017-03-17T21:54:00Z,2018-04-18T16:48:31Z,NA,OpenRefine-ecology-lesson
datacarpentry,ErinBecker,79,FALSE,open,2017-03-17T21:48:53Z,2018-04-18T16:48:31Z,NA,OpenRefine-ecology-lesson
datacarpentry,cmacdonell,76,FALSE,open,2017-03-17T21:26:19Z,2018-04-18T16:51:20Z,NA,OpenRefine-ecology-lesson
datacarpentry,cmacdonell,72,FALSE,open,2017-03-17T21:02:13Z,2018-04-18T16:51:20Z,NA,OpenRefine-ecology-lesson
datacarpentry,Repositorian,69,FALSE,open,2017-03-17T00:54:40Z,2018-04-18T16:51:20Z,NA,OpenRefine-ecology-lesson
datacarpentry,tracykteal,68,FALSE,open,2017-03-16T23:01:24Z,2018-04-18T16:48:31Z,NA,OpenRefine-ecology-lesson
datacarpentry,tracykteal,65,FALSE,open,2017-03-16T22:56:02Z,2018-04-18T16:51:20Z,NA,OpenRefine-ecology-lesson
datacarpentry,tracykteal,62,FALSE,open,2017-03-16T22:50:59Z,2018-04-18T16:51:20Z,NA,OpenRefine-ecology-lesson
datacarpentry,tracykteal,60,FALSE,open,2017-03-16T22:47:40Z,2018-04-18T16:51:20Z,NA,OpenRefine-ecology-lesson
datacarpentry,tracykteal,59,FALSE,open,2017-03-16T22:46:27Z,2018-04-18T16:51:20Z,NA,OpenRefine-ecology-lesson
datacarpentry,tracykteal,53,FALSE,open,2017-03-16T22:17:43Z,2018-04-18T16:49:29Z,NA,OpenRefine-ecology-lesson
datacarpentry,tracykteal,46,FALSE,open,2017-02-28T20:54:10Z,2018-04-18T16:48:31Z,NA,OpenRefine-ecology-lesson
datacarpentry,tpoisot,43,FALSE,open,2017-01-18T20:05:57Z,2018-04-18T16:51:20Z,NA,OpenRefine-ecology-lesson
datacarpentry,Repositorian,37,FALSE,open,2016-12-13T20:00:50Z,2018-04-18T16:48:30Z,NA,OpenRefine-ecology-lesson
datacarpentry,mikewallis,29,FALSE,open,2016-12-02T13:20:36Z,2018-04-18T16:50:13Z,NA,OpenRefine-ecology-lesson
datacarpentry,fmichonneau,10,FALSE,open,2016-03-12T16:37:35Z,2018-04-18T16:48:30Z,NA,OpenRefine-ecology-lesson
datacarpentry,tracykteal,4,FALSE,open,2015-08-20T21:25:51Z,2018-04-18T16:48:30Z,NA,OpenRefine-ecology-lesson
datacarpentry,standage,44,TRUE,open,2018-04-16T20:19:31Z,2018-04-17T18:02:43Z,NA,genomics-workshop
datacarpentry,standage,43,FALSE,open,2018-04-16T20:17:30Z,2018-04-16T20:17:30Z,NA,genomics-workshop
datacarpentry,standage,42,FALSE,open,2018-04-16T20:16:43Z,2018-04-16T20:16:43Z,NA,genomics-workshop
datacarpentry,bluegenes,41,FALSE,open,2018-04-13T22:17:09Z,2018-04-13T22:59:10Z,NA,genomics-workshop
datacarpentry,aschuerch,28,FALSE,open,2017-10-10T19:25:16Z,2018-04-13T22:34:30Z,NA,genomics-workshop
datacarpentry,lachlandeer,158,TRUE,open,2018-04-22T13:59:07Z,2018-04-22T13:59:07Z,NA,r-raster-vector-geospatial
datacarpentry,lachlandeer,157,TRUE,open,2018-04-22T12:42:06Z,2018-04-22T12:42:06Z,NA,r-raster-vector-geospatial
datacarpentry,lachlandeer,156,TRUE,open,2018-04-22T11:43:04Z,2018-04-22T11:43:04Z,NA,r-raster-vector-geospatial
datacarpentry,lachlandeer,155,FALSE,open,2018-04-21T17:21:10Z,2018-04-24T10:17:52Z,NA,r-raster-vector-geospatial
datacarpentry,jsta,154,TRUE,closed,2018-04-21T15:04:57Z,2018-04-23T15:34:52Z,2018-04-23T12:38:38Z,r-raster-vector-geospatial
datacarpentry,jsta,153,TRUE,closed,2018-04-15T14:00:10Z,2018-04-21T13:23:48Z,2018-04-21T13:23:48Z,r-raster-vector-geospatial
datacarpentry,justinmillar,152,TRUE,open,2018-04-13T21:08:06Z,2018-04-15T13:56:04Z,NA,r-raster-vector-geospatial
datacarpentry,MarconiS,151,TRUE,closed,2018-04-13T19:36:11Z,2018-04-13T20:43:47Z,2018-04-13T20:43:47Z,r-raster-vector-geospatial
